Accession,E2vE3_Fold_change,E4vE3_Fold_change
A0A1W2P872,-0.0132559176480333,0.0799319974118939
A2A432,-0.0218096855503017,-0.0197211465212235
A2A5R2,-0.0098536223860591,-0.056692804347545
A2A8Z1,-0.1229087394311324,
A2ADY9,0.0212498464968659,-0.0975043175464808
A2AG50,0.0346335249559131,0.0193218910191828
A2AGT5,0.0279815998396109,0.0485401017373206
A2AJI0,0.0342539743024167,0.0568447346344696
A2ALS5,-0.047396616827604,-0.0406145630253863
A2ALU4,0.0289713507962742,0.0134145623653101
A2AN08,-0.0122293849807632,-0.0591253486783043
A2AP18,0.0133270744950173,0.0128517389145481
A2AQ07,-0.012165925340185,-0.0504327802023825
A2AQ19,0.2235304510679324,
A2ARP1,-0.0082192341559811,-0.1242231817132399
A2AT37,0.1002240159257256,
A2AWA9,-0.0261683547936244,-0.0551004541026758
A2BDX3,0.0482908515965087,-0.0093076201381079
A2RSJ4,0.0856556903160219,-0.0898721586000635
A2RT62,0.0111461557450197,-0.0848519569502768
A3KMP2,-0.1028926718353559,-0.2443520160953861
A6H5Z3,-0.0088735834394944,0.0060203612715607
A6H630,0.0124101615889637,-0.0529030495660313
A8Y5H7,-0.312694130710968,-0.2252084509695439
B1AVZ0,-0.0037760655234467,-0.0371564090377674
B1AWN6,0.0586619246044806,0.4095908345033888
B1AY13,-0.0313967805074937,-0.0834036804045073
B1AZP2,-0.0280158050855979,-0.0185624714233108
B2RQC6,-0.0659998384287791,0.0912946085344264
B2RRE7,-0.0723187282201691,
B2RSH2,0.0588143789511447,0.0233582153224936
B2RUJ5,0.0724865332347157,-0.0626589615400011
B2RUR8,-0.062754414882623,0.0061504816953533
B2RXC1,0.03129995548203,-0.043027318525054
B2RXS4,0.042733583523746,-0.0138809977525371
B9EJ86,0.014526404198471,0.0507063043383718
B9EJA2,0.034041021464323,-0.07215725686736
B9EKR1,0.0069459692418457,-0.0302179253682026
D3YUB6,0.0544341954903009,0.0306030091412001
D3YVF0,-0.0223606789063527,-0.0139326643513755
D3YWQ0,0.01129893513406,0.0287570572026771
D3YZI9,-0.0357016268411943,-0.2076307531262728
D3YZP9,-0.0013036933334082,0.0162219088343864
D3YZU1,0.1097870806007214,-0.0499807808438143
D3Z7P3,0.0320664042571339,-0.1121422378352896
E9PUL5,-0.0402735677241726,0.1944603915857294
E9PV24,0.4996264633480607,0.0509120915687508
E9PVA8,-0.0131040918639727,-0.0093756671843908
E9Q3L2,0.0179055992738207,0.1893518730648045
E9Q401,0.0368391711135158,-0.0114403319131755
E9Q6P5,0.0644246232322479,0.0689043797088218
E9Q735,0.0222628175175215,-0.0352857611425904
E9Q8I9,0.0443325013575892,0.1005554101270907
E9Q912,-0.0870693819382254,-0.0726101788057795
E9QAT4,0.0078854701734651,-0.0550580858690265
F6SEU4,0.0497884430621356,0.1583765825375213
F6W8I0,0.1050741612478171,-0.0659263172934764
F6ZDS4,0.0094021486477172,0.0364229632239148
F8VPU2,0.0295909747097765,0.0444971758424399
F8VPU6,0.1270203608653076,0.0129575282013732
G3X8U3,-0.0758751420946731,-0.1951646004028458
G3X9K3,0.0602438111011211,-0.007862524811592
G5E829,0.0576090858215604,0.2735445678355502
G5E8K5,0.0197566670366081,0.2257154215450621
G5E8V9,0.0170655931711908,-0.1359502004680922
O08528,-0.0002534714668822,0.051231398307968
O08529,0.0150944662496678,-0.0090188669065848
O08532,0.0188580590228334,0.1116152928311539
O08539,0.0001005220409827,-0.0647153718794213
O08547,-0.0232532262800197,0.1748392038455553
O08553,-0.0155080445734415,-0.1342740325265617
O08576,0.0105240087708834,0.0535381315042069
O08582,-0.0057913693694835,-0.0170126759042557
O08583,-0.0016580023849501,0.030149472207122
O08585,-0.2073325167404182,0.0023308385156861
O08599,0.036210861093393,0.009307061431067
O08648,-0.3091808334881083,0.1815520024237035
O08663,-0.0464367398909578,0.0367127797042078
O08709,-0.0971912995158015,-0.0333585125262697
O08739,0.0344356645386331,-0.0084182794271309
O08749,0.034227562772788,-0.0454806403698053
O08756,0.0090178019653282,-0.0898305156514305
O08759,-0.0324293786184666,-0.0876823240549767
O08784,0.1855985302547182,0.1611275132164521
O08788,0.0270556119020408,-0.0358322954226707
O08795,-0.0198318406553313,-0.0175455956038951
O08808,-0.0365010056112271,-0.0959286879149269
O08810,0.0797140294109879,0.0725558091331542
O08848,0.0311683744513043,-0.0884758510443838
O08914,0.0751058568726982,0.0199444973140386
O08915,0.0172867821530908,-0.0327680110226392
O08917,0.0666646295135838,0.2890196015405281
O08919,0.0172121148846526,-0.0028158509561537
O08997,-0.0825556358461917,-0.2693002756960292
O09061,0.0424093974339728,-0.1562988370603182
O09131,-0.0559763283813541,-0.1468829960367484
O09164,-0.2298033793666253,
O09167,0.1062413782708969,-0.0978097299903727
O09172,-0.0377325950138083,-0.1439272745243011
O35066,0.1415635049767538,-0.2461216690948705
O35083,0.1415721609211991,0.0670939620533666
O35098,0.0125228137685882,-0.1084207665753229
O35129,-0.1115049053306295,0.5636352015568612
O35136,0.0619592341949212,0.1925112893490066
O35215,-0.0467298825494606,-0.1233586181432761
O35226,0.0494856328372291,-0.1147724449673051
O35250,-0.0168877765154098,-0.0491900955488553
O35286,-0.0014640037054895,-0.0444815980949979
O35295,-4.801236092299988e-05,-0.0783134738987385
O35326,0.0253336178205442,-0.0604591920148061
O35343,0.0233160672343658,0.0041037598947779
O35344,0.0750816757018834,-0.0350441081354424
O35345,-0.0397366502287984,0.0166547341439144
O35381,-0.1598998179852557,0.1066673558549066
O35382,-0.0123648091937766,0.0031719137081896
O35405,0.0942567586734864,-0.0463739386721147
O35459,0.0501468545432955,-0.1951967413534936
O35465,0.0674974904587226,0.1519369319073612
O35490,-0.5946198771915916,0.4280002109502392
O35495,0.0394453580562666,0.008147234413106
O35526,-0.0208108103249577,0.2477391129072484
O35551,0.0318301197102339,0.0511766802189236
O35593,0.0022360164761117,-0.1981954479069421
O35609,0.04260951415202,0.0118167122870224
O35621,0.0704580537262061,-0.0934840234195103
O35633,-0.0688996053203396,0.0780863690323868
O35639,0.0202326289836521,0.0104997359414692
O35643,0.0068410674385206,-0.0543992449336943
O35658,0.0427226028820419,0.039461161165552
O35660,0.0316776284657489,0.1086969845538099
O35678,0.0572103482090846,-0.1187679760677726
O35685,-0.0129052609668298,0.0261709298042383
O35737,0.0250229164711371,-0.0275076513790247
O35841,-0.0193995412279005,-0.0693706642597815
O35857,-0.0036239457078083,0.0798735110932761
O35864,-0.0327909730921064,-0.094715886318754
O35874,-0.0690746817579164,0.441251913157046
O35887,0.0170352417422884,0.0411905190164014
O35900,-0.1615888598904587,0.0068820399018169
O35927,-0.0132186417003232,0.1977257664274325
O35943,-0.042570031504489,-0.111288688764037
O35945,-0.0046978465497215,-0.2137537540184832
O35954,-0.0264775995454379,0.0751514072081546
O35969,-0.0839815127485161,-0.0674840696798281
O54724,-0.1167304153736181,0.1332831528255849
O54734,0.007898550191584,0.1536050002484711
O54774,0.0017334465959983,-0.0379847635698857
O54781,0.0104446678519346,-0.0746976719851001
O54786,0.091261493959432,0.1453917362346752
O54829,0.0343886851677278,0.019640389601695
O54833,0.029002434422576,-0.0873968690206185
O54865,-0.0062229139677084,-0.0074988484936586
O54879,-0.0165320489182579,-0.3368400607108942
O54901,0.0626742020775312,0.2827640078122281
O54916,0.0224536433344443,0.1304605166657954
O54983,-0.0007713452124287,-0.1033470029238784
O54984,-0.0047112236403874,-0.0294816839032791
O54988,-0.0003429496040917,-0.088767189925404
O54991,0.0372045743573635,0.1934374949658692
O55013,0.07284951257567,0.0779261606866531
O55022,-0.0590217882194685,0.0849573432825006
O55023,0.0125871594771715,-0.0929642020587842
O55029,0.0244504269395446,0.0265733042688061
O55042,0.0125900863577341,-0.1825106672309583
O55057,0.0577776857984554,-0.2257258257012238
O55060,-0.0338274488594514,-0.0157495441178863
O55091,-0.0243182611427368,0.0342224569602248
O55100,-0.0705002105441541,0.076856441550579
O55106,0.0346028408964345,-0.0428919960379448
O55125,-0.008921083810789,-0.0634840318463068
O55126,-0.0690643380991135,-0.038766572200929
O55131,0.0316773028880367,-0.0554669842758144
O55135,0.0225648271971644,-0.1455388322463919
